user_id,age,city_tier,income_bracket,device_type,referral_source,platform_id,registration_date,converted,max_stage_reached,max_stage_name,funnel_attempts
U00027,29,1,7-15L,mobile,google_ads,PLT_15,2025-05-03,1,4,deposit,3
U00028,28,2,>15L,desktop,social_media,PLT_07,2025-01-24,0,3,kyc,1
U00029,40,2,3-7L,mobile,social_media,PLT_01,2025-04-04,0,3,kyc,1
U00030,51,1,<3L,desktop,partner_referral,PLT_01,2024-10-27,0,2,details,1
U00031,25,2,3-7L,desktop,direct,PLT_05,2024-06-07,1,4,deposit,1
U00032,38,1,<3L,tablet,organic,PLT_08,2024-11-17,0,1,fd_view,2
U00033,43,1,<3L,tablet,partner_referral,PLT_09,2025-04-06,0,1,fd_view,2
U00034,46,3,3-7L,mobile,social_media,PLT_12,2024-11-27,0,1,fd_view,1
U00035,40,3,3-7L,mobile,partner_referral,PLT_06,2025-04-11,0,2,details,1
U00036,33,3,3-7L,mobile,google_ads,PLT_12,2025-05-11,1,4,deposit,2
U00037,28,2,3-7L,desktop,organic,PLT_13,2025-05-28,1,4,deposit,1
U00038,39,1,7-15L,desktop,direct,PLT_10,2025-04-04,0,1,fd_view,1
U00039,25,2,<3L,mobile,google_ads,PLT_12,2024-08-25,0,3,kyc,3
U00040,22,2,<3L,desktop,direct,PLT_08,2025-04-30,0,0,landing,1
U00041,43,1,<3L,mobile,partner_referral,PLT_15,2025-05-05,0,3,kyc,3
U00042,48,2,3-7L,desktop,social_media,PLT_06,2024-06-01,1,4,deposit,2
U00043,22,1,<3L,tablet,social_media,PLT_11,2025-05-29,0,0,landing,1
U00044,25,3,3-7L,mobile,social_media,PLT_06,2024-11-29,0,0,landing,1
U00045,45,1,3-7L,mobile,google_ads,PLT_04,2025-04-16,1,4,deposit,1
U00046,62,2,7-15L,mobile,partner_referral,PLT_11,2025-05-28,1,4,deposit,1
U00047,38,2,<3L,desktop,social_media,PLT_05,2024-08-06,0,3,kyc,1
U00048,29,2,7-15L,mobile,google_ads,PLT_14,2025-05-14,0,0,landing,1
U00049,35,2,7-15L,mobile,google_ads,PLT_02,2025-02-25,0,2,details,1
U00050,54,1,7-15L,mobile,organic,PLT_03,2025-04-24,0,3,kyc,1
U00051,30,3,>15L,mobile,direct,PLT_03,2025-05-24,0,2,details,3
U00052,28,3,<3L,mobile,organic,PLT_14,2025-05-26,0,0,landing,1
U00053,32,3,<3L,desktop,partner_referral,PLT_12,2025-05-18,0,2,details,1
U00054,26,3,>15L,mobile,google_ads,PLT_11,2025-05-24,1,4,deposit,1
U00055,39,2,3-7L,desktop,google_ads,PLT_05,2024-12-12,0,1,fd_view,1
U00056,57,3,3-7L,desktop,social_media,PLT_14,2025-03-14,0,3,kyc,1
U00057,41,1,7-15L,mobile,organic,PLT_05,2025-04-12,1,4,deposit,1
U00058,34,1,7-15L,mobile,partner_referral,PLT_06,2025-03-28,0,2,details,1
U00059,34,1,>15L,desktop,social_media,PLT_05,2024-07-19,0,3,kyc,1
U00060,22,2,>15L,tablet,social_media,PLT_12,2024-08-16,0,0,landing,1
U00061,48,2,7-15L,mobile,organic,PLT_06,2025-01-02,0,1,fd_view,1
U00062,37,1,3-7L,mobile,direct,PLT_08,2024-09-15,0,3,kyc,2
U00063,35,3,>15L,mobile,social_media,PLT_15,2025-04-16,0,0,landing,1
U00064,70,2,<3L,desktop,direct,PLT_02,2025-04-05,0,3,kyc,1
U00065,41,1,<3L,mobile,google_ads,PLT_04,2025-02-07,1,4,deposit,3
U00066,28,2,>15L,mobile,partner_referral,PLT_13,2025-02-04,0,1,fd_view,2
U00067,32,1,3-7L,desktop,direct,PLT_06,2025-03-15,0,3,kyc,1
U00068,51,3,<3L,desktop,direct,PLT_12,2025-04-01,0,2,details,1
U00069,39,1,<3L,mobile,google_ads,PLT_05,2024-06-01,0,3,kyc,1
U00070,22,3,>15L,mobile,google_ads,PLT_01,2024-11-07,0,1,fd_view,1
U00071,49,3,3-7L,desktop,google_ads,PLT_09,2025-03-25,0,1,fd_view,1
U00072,29,1,7-15L,mobile,google_ads,PLT_03,2024-12-28,0,2,details,1
U00073,60,1,<3L,mobile,google_ads,PLT_02,2025-04-25,0,1,fd_view,1
U00074,50,3,7-15L,desktop,google_ads,PLT_09,2025-05-20,0,3,kyc,2
U00075,32,3,7-15L,mobile,direct,PLT_07,2025-04-10,0,2,details,1
U00076,53,3,3-7L,desktop,organic,PLT_05,2025-04-01,1,4,deposit,3
U00077,38,3,3-7L,tablet,social_media,PLT_12,2025-05-30,0,3,kyc,2
U00078,48,1,<3L,mobile,organic,PLT_06,2024-11-11,0,0,landing,2
U00079,43,2,>15L,mobile,google_ads,PLT_12,2025-04-09,0,2,details,2
U00080,27,1,7-15L,desktop,organic,PLT_11,2025-02-17,1,4,deposit,1
U00081,30,3,>15L,desktop,google_ads,PLT_04,2025-05-23,0,1,fd_view,2
U00082,50,2,3-7L,tablet,social_media,PLT_01,2025-05-09,0,1,fd_view,1
U00083,33,2,7-15L,desktop,direct,PLT_04,2024-09-10,0,0,landing,1
U00084,33,1,7-15L,mobile,google_ads,PLT_09,2025-02-09,0,1,fd_view,1
U00085,26,2,7-15L,desktop,google_ads,PLT_01,2024-06-06,0,2,details,1
U00086,43,2,>15L,mobile,google_ads,PLT_10,2024-06-01,1,4,deposit,2
U00087,62,3,3-7L,mobile,direct,PLT_03,2025-04-07,0,2,details,1
U00088,25,2,<3L,mobile,social_media,PLT_15,2025-04-20,0,0,landing,1
U00089,38,3,7-15L,mobile,partner_referral,PLT_15,2024-10-10,1,4,deposit,1
U00090,54,2,7-15L,desktop,social_media,PLT_05,2024-06-01,1,4,deposit,1
U00091,37,1,3-7L,mobile,social_media,PLT_07,2025-02-02,0,0,landing,1
U00092,43,3,<3L,mobile,organic,PLT_09,2024-11-23,0,0,landing,1
U00093,25,3,3-7L,mobile,google_ads,PLT_06,2024-12-01,1,4,deposit,3
U00094,43,2,3-7L,desktop,direct,PLT_03,2025-04-10,1,4,deposit,1
U00095,35,3,3-7L,desktop,social_media,PLT_13,2025-02-19,1,4,deposit,1
U00096,49,2,7-15L,mobile,partner_referral,PLT_07,2024-10-30,0,2,details,2
U00097,52,2,7-15L,mobile,partner_referral,PLT_15,2025-01-13,0,0,landing,1
U00098,69,2,<3L,mobile,google_ads,PLT_14,2025-05-30,0,3,kyc,2
U00099,44,1,3-7L,tablet,partner_referral,PLT_04,2025-04-13,0,3,kyc,1
U00100,41,1,3-7L,desktop,social_media,PLT_03,2025-05-14,1,4,deposit,1
U00101,40,1,<3L,mobile,google_ads,PLT_14,2025-05-01,1,4,deposit,1
U00102,33,2,7-15L,desktop,social_media,PLT_07,2024-08-22,1,4,deposit,2
U00103,42,2,>15L,mobile,direct,PLT_11,2025-05-28,0,1,fd_view,1
U00104,34,2,3-7L,desktop,organic,PLT_11,2025-05-03,1,4,deposit,2
U00105,40,3,7-15L,mobile,google_ads,PLT_07,2025-04-18,1,4,deposit,1
U00106,53,1,>15L,mobile,google_ads,PLT_04,2025-02-06,0,2,details,2
U00107,25,2,7-15L,mobile,social_media,PLT_12,2025-03-02,1,4,deposit,1
U00108,51,3,<3L,mobile,google_ads,PLT_07,2025-05-03,0,1,fd_view,2
U00109,53,1,>15L,tablet,partner_referral,PLT_11,2025-05-11,1,4,deposit,3
U00110,36,1,3-7L,mobile,direct,PLT_14,2025-04-30,0,3,kyc,1
U00111,22,1,3-7L,desktop,google_ads,PLT_02,2025-03-10,0,2,details,1
U00112,30,1,<3L,desktop,direct,PLT_01,2025-04-25,0,2,details,1
U00113,53,3,3-7L,mobile,direct,PLT_12,2024-06-13,0,1,fd_view,2
U00114,37,3,<3L,mobile,organic,PLT_15,2025-03-19,0,2,details,3
U00115,26,2,<3L,mobile,google_ads,PLT_02,2025-05-25,0,1,fd_view,1
U00116,31,3,3-7L,desktop,direct,PLT_04,2024-12-27,0,2,details,1
U00117,48,3,7-15L,mobile,direct,PLT_08,2025-04-15,0,2,details,1
U00118,44,1,>15L,mobile,organic,PLT_03,2025-01-25,0,2,details,1
U00119,35,3,3-7L,mobile,organic,PLT_15,2025-04-23,0,3,kyc,1
U00120,33,2,>15L,desktop,organic,PLT_10,2025-02-20,0,3,kyc,2
U00121,33,3,>15L,mobile,direct,PLT_15,2024-12-06,0,0,landing,1
U00122,26,3,7-15L,mobile,organic,PLT_06,2024-07-21,0,1,fd_view,1
U00123,57,2,<3L,mobile,partner_referral,PLT_06,2025-04-26,0,0,landing,1
U00124,34,1,7-15L,mobile,social_media,PLT_13,2025-04-14,0,1,fd_view,1
U00125,52,1,>15L,desktop,organic,PLT_09,2025-03-19,0,1,fd_view,2
U00126,56,2,7-15L,mobile,partner_referral,PLT_09,2024-07-22,0,0,landing,1
U00127,49,3,3-7L,desktop,google_ads,PLT_04,2024-08-28,1,4,deposit,1
U00128,32,3,3-7L,desktop,direct,PLT_09,2025-05-21,0,1,fd_view,1
U00129,42,1,7-15L,desktop,google_ads,PLT_15,2025-05-16,0,0,landing,1
U00130,37,2,3-7L,desktop,social_media,PLT_15,2025-03-11,0,3,kyc,2
U00131,27,2,<3L,mobile,social_media,PLT_13,2025-05-19,0,3,kyc,1
U00132,41,1,3-7L,mobile,google_ads,PLT_06,2025-04-12,0,1,fd_view,1
U00133,23,1,7-15L,desktop,organic,PLT_02,2025-05-13,1,4,deposit,2
U00134,52,2,>15L,mobile,google_ads,PLT_10,2025-01-31,0,0,landing,1
U00135,32,3,<3L,desktop,google_ads,PLT_14,2024-06-08,0,1,fd_view,1
U00136,40,2,>15L,mobile,social_media,PLT_11,2024-06-01,0,0,landing,1
U00137,41,2,3-7L,tablet,social_media,PLT_06,2025-04-06,0,3,kyc,1
U00138,34,3,7-15L,desktop,google_ads,PLT_02,2025-02-12,0,0,landing,1
U00139,45,2,7-15L,mobile,partner_referral,PLT_08,2024-10-12,1,4,deposit,2
U00140,32,3,7-15L,mobile,partner_referral,PLT_04,2025-05-18,0,1,fd_view,1
U00141,48,3,>15L,desktop,social_media,PLT_05,2025-01-12,0,0,landing,1
U00142,22,1,3-7L,desktop,google_ads,PLT_08,2025-03-30,1,4,deposit,1
U00143,39,2,>15L,mobile,google_ads,PLT_14,2025-05-05,0,1,fd_view,1
U00144,61,2,<3L,desktop,google_ads,PLT_11,2025-04-01,0,1,fd_view,1
U00145,25,1,7-15L,mobile,partner_referral,PLT_08,2025-05-23,0,3,kyc,1
U00146,29,1,7-15L,mobile,google_ads,PLT_12,2025-01-10,0,1,fd_view,2
U00147,44,2,7-15L,desktop,google_ads,PLT_14,2025-04-28,1,4,deposit,2
U00148,40,2,3-7L,desktop,organic,PLT_12,2025-04-18,1,4,deposit,2
U00149,42,1,>15L,desktop,social_media,PLT_06,2025-05-17,0,3,kyc,3
U00150,43,1,<3L,desktop,google_ads,PLT_04,2024-10-05,0,1,fd_view,3
U00151,45,3,<3L,mobile,organic,PLT_15,2025-03-12,0,0,landing,3
U00152,51,1,7-15L,desktop,google_ads,PLT_01,2025-02-20,0,0,landing,1
U00153,42,1,3-7L,mobile,google_ads,PLT_12,2025-02-20,0,1,fd_view,2
U00154,35,2,7-15L,mobile,partner_referral,PLT_07,2025-03-30,0,3,kyc,1
U00155,46,3,3-7L,mobile,google_ads,PLT_08,2025-05-07,0,3,kyc,3
U00156,60,1,<3L,mobile,google_ads,PLT_09,2024-12-19,1,4,deposit,3
U00157,36,2,7-15L,mobile,partner_referral,PLT_02,2025-05-16,0,1,fd_view,1
U00158,26,3,3-7L,mobile,google_ads,PLT_01,2025-05-19,0,2,details,3
U00159,51,1,<3L,mobile,organic,PLT_04,2025-01-04,1,4,deposit,1
U00160,36,3,7-15L,mobile,direct,PLT_13,2025-05-04,0,2,details,1
U00161,22,2,3-7L,desktop,google_ads,PLT_05,2025-04-19,0,2,details,1
U00162,48,2,7-15L,mobile,google_ads,PLT_10,2025-03-16,1,4,deposit,1
U00163,31,2,3-7L,mobile,organic,PLT_12,2025-03-22,0,0,landing,1
U00164,36,2,7-15L,desktop,google_ads,PLT_01,2025-01-05,0,3,kyc,1
U00165,41,1,7-15L,desktop,partner_referral,PLT_05,2025-02-04,0,2,details,1
U00166,40,3,7-15L,desktop,partner_referral,PLT_06,2025-01-28,0,1,fd_view,1
U00167,46,2,<3L,mobile,social_media,PLT_03,2025-01-02,0,2,details,1
U00168,32,1,7-15L,desktop,organic,PLT_12,2025-04-21,0,3,kyc,1
U00169,44,1,7-15L,mobile,google_ads,PLT_15,2025-04-16,0,3,kyc,1
U00170,34,2,7-15L,mobile,social_media,PLT_07,2025-03-24,1,4,deposit,2
U00171,46,2,3-7L,mobile,direct,PLT_14,2025-04-18,0,2,details,3
U00172,45,1,>15L,desktop,organic,PLT_06,2024-06-01,1,4,deposit,1
U00173,26,2,7-15L,mobile,google_ads,PLT_04,2024-11-12,0,0,landing,1
U00174,51,1,<3L,mobile,google_ads,PLT_03,2025-05-11,0,3,kyc,2
U00175,31,2,3-7L,mobile,organic,PLT_05,2025-05-31,0,1,fd_view,1
U00176,47,1,>15L,desktop,google_ads,PLT_03,2025-05-27,0,0,landing,1
U00177,42,2,<3L,desktop,organic,PLT_10,2025-04-29,0,2,details,1
U00178,60,2,>15L,mobile,social_media,PLT_09,2025-05-18,0,3,kyc,1
U00179,35,3,7-15L,desktop,partner_referral,PLT_09,2025-03-02,1,4,deposit,1
U00180,33,1,7-15L,mobile,organic,PLT_06,2024-10-10,0,2,details,1
U00181,37,2,3-7L,desktop,organic,PLT_13,2024-12-23,0,2,details,2
U00182,34,1,<3L,mobile,social_media,PLT_11,2025-05-03,0,3,kyc,1
U00183,47,3,>15L,desktop,organic,PLT_06,2025-04-01,0,3,kyc,1
U00184,22,3,3-7L,mobile,partner_referral,PLT_12,2025-03-08,0,1,fd_view,1
U00185,25,1,7-15L,desktop,google_ads,PLT_14,2024-11-14,1,4,deposit,2
U00186,25,2,3-7L,mobile,partner_referral,PLT_04,2024-10-25,0,1,fd_view,1
U00187,49,3,<3L,mobile,google_ads,PLT_04,2024-08-17,0,2,details,3
U00188,58,2,<3L,mobile,organic,PLT_02,2025-03-08,0,2,details,1
U00189,36,2,3-7L,mobile,google_ads,PLT_10,2025-01-10,0,1,fd_view,1
U00190,35,1,>15L,mobile,organic,PLT_04,2025-05-18,0,1,fd_view,1
U00191,38,1,3-7L,desktop,google_ads,PLT_08,2025-02-22,0,3,kyc,2
U00192,51,3,3-7L,mobile,social_media,PLT_13,2025-04-28,0,0,landing,1
U00193,26,3,3-7L,desktop,google_ads,PLT_10,2025-03-26,0,1,fd_view,1
U00194,40,2,3-7L,desktop,organic,PLT_02,2025-02-01,1,4,deposit,2
U00195,49,2,3-7L,desktop,partner_referral,PLT_09,2025-04-27,1,4,deposit,1
U00196,44,2,>15L,desktop,partner_referral,PLT_14,2025-05-26,1,4,deposit,3
U00197,40,3,3-7L,desktop,direct,PLT_01,2025-05-31,0,0,landing,1
U00198,50,3,3-7L,mobile,partner_referral,PLT_13,2025-05-30,0,2,details,1
U00199,22,3,<3L,desktop,google_ads,PLT_02,2025-05-31,0,1,fd_view,3
U00200,46,3,>15L,mobile,partner_referral,PLT_15,2025-05-18,1,4,deposit,2
U00201,30,2,<3L,desktop,direct,PLT_02,2025-04-30,1,4,deposit,1
U00202,22,1,<3L,desktop,social_media,PLT_11,2025-05-02,1,4,deposit,2
U00203,44,1,7-15L,mobile,google_ads,PLT_13,2024-06-01,0,2,details,2
U00204,54,3,3-7L,mobile,google_ads,PLT_15,2025-04-19,1,4,deposit,2
U00205,36,2,3-7L,mobile,google_ads,PLT_14,2025-05-16,0,0,landing,1
U00206,49,1,3-7L,desktop,partner_referral,PLT_06,2025-02-27,0,0,landing,1
U00207,57,1,7-15L,tablet,social_media,PLT_15,2024-10-10,0,1,fd_view,2
U00208,53,2,<3L,mobile,partner_referral,PLT_14,2025-01-16,0,2,details,3
U00209,57,1,7-15L,desktop,organic,PLT_07,2025-04-20,0,3,kyc,1
U00210,46,1,7-15L,tablet,social_media,PLT_13,2025-02-23,0,2,details,2
U00211,38,2,3-7L,mobile,social_media,PLT_15,2025-01-02,0,2,details,1
U00212,22,2,3-7L,mobile,google_ads,PLT_15,2024-12-27,0,1,fd_view,1
U00213,35,2,3-7L,desktop,social_media,PLT_03,2025-01-21,0,1,fd_view,1
U00214,27,1,7-15L,desktop,google_ads,PLT_11,2024-09-29,0,2,details,2
U00215,64,3,3-7L,desktop,direct,PLT_09,2024-09-30,1,4,deposit,1
U00216,35,1,3-7L,mobile,social_media,PLT_05,2025-02-18,0,3,kyc,2
U00217,39,2,3-7L,mobile,partner_referral,PLT_05,2025-03-26,0,2,details,3
U00218,44,3,>15L,mobile,social_media,PLT_11,2025-01-29,0,1,fd_view,1
U00219,38,2,3-7L,mobile,direct,PLT_12,2024-11-09,0,3,kyc,1
U00220,58,3,>15L,mobile,google_ads,PLT_04,2025-05-31,0,1,fd_view,1
U00221,30,2,3-7L,desktop,google_ads,PLT_09,2024-06-01,0,1,fd_view,1
U00222,40,2,<3L,mobile,social_media,PLT_08,2025-05-08,0,2,details,1
U00223,29,1,<3L,desktop,google_ads,PLT_12,2025-03-17,0,0,landing,1
U00224,22,2,3-7L,mobile,google_ads,PLT_04,2024-09-28,0,3,kyc,2
U00225,30,1,<3L,desktop,direct,PLT_04,2025-05-02,0,3,kyc,3
U00226,37,1,<3L,mobile,social_media,PLT_02,2025-03-16,0,2,details,2
U00227,32,3,>15L,mobile,google_ads,PLT_09,2025-05-15,1,4,deposit,2
U00228,29,2,7-15L,mobile,google_ads,PLT_03,2025-04-02,1,4,deposit,1
U00229,22,3,7-15L,tablet,google_ads,PLT_04,2025-05-09,0,0,landing,1
U00230,37,2,<3L,desktop,google_ads,PLT_14,2025-04-08,0,1,fd_view,2
U00231,22,3,<3L,mobile,organic,PLT_07,2025-04-06,0,2,details,3
U00232,47,2,<3L,mobile,social_media,PLT_10,2024-06-01,0,3,kyc,1
U00233,38,2,7-15L,tablet,google_ads,PLT_08,2024-06-01,1,4,deposit,2
U00234,22,2,>15L,mobile,google_ads,PLT_08,2025-05-18,0,2,details,1
U00235,34,1,3-7L,mobile,google_ads,PLT_04,2024-12-28,0,3,kyc,1
U00236,28,3,<3L,desktop,direct,PLT_15,2025-05-26,0,0,landing,1
U00237,41,1,3-7L,tablet,google_ads,PLT_07,2025-05-29,1,4,deposit,1
U00238,54,1,3-7L,mobile,organic,PLT_10,2025-05-19,0,2,details,2
U00239,22,2,3-7L,mobile,organic,PLT_01,2024-06-01,0,1,fd_view,1
U00240,39,1,7-15L,tablet,partner_referral,PLT_06,2024-06-27,1,4,deposit,1
U00241,36,3,7-15L,mobile,partner_referral,PLT_06,2025-05-07,0,2,details,2
U00242,46,3,<3L,mobile,google_ads,PLT_06,2025-05-11,0,1,fd_view,1
U00243,40,3,<3L,desktop,google_ads,PLT_12,2025-04-29,0,3,kyc,1
U00244,28,2,>15L,desktop,organic,PLT_02,2025-03-07,1,4,deposit,2
U00245,34,1,<3L,mobile,partner_referral,PLT_08,2025-02-20,0,2,details,1
U00246,28,3,<3L,tablet,partner_referral,PLT_14,2025-05-02,0,2,details,1
U00247,50,2,<3L,desktop,organic,PLT_15,2024-12-14,0,2,details,1
U00248,38,3,<3L,mobile,organic,PLT_15,2025-04-18,0,1,fd_view,2
U00249,60,3,3-7L,tablet,organic,PLT_05,2024-07-30,0,0,landing,1
U00250,37,3,7-15L,mobile,organic,PLT_05,2025-01-24,0,1,fd_view,2
U00251,29,1,3-7L,mobile,partner_referral,PLT_02,2025-03-25,0,0,landing,1
U00252,22,2,3-7L,desktop,organic,PLT_04,2024-11-26,1,4,deposit,2
U00253,22,3,7-15L,mobile,google_ads,PLT_12,2024-11-09,0,1,fd_view,1
U00254,22,2,3-7L,mobile,organic,PLT_09,2025-04-21,0,1,fd_view,2
U00255,41,1,>15L,mobile,direct,PLT_09,2025-04-13,0,0,landing,1
U00256,44,2,>15L,mobile,direct,PLT_06,2024-07-07,1,4,deposit,1
U00257,22,3,<3L,desktop,google_ads,PLT_11,2025-05-11,0,1,fd_view,1
U00258,48,2,7-15L,desktop,google_ads,PLT_15,2025-05-27,0,3,kyc,2
U00259,32,2,3-7L,tablet,google_ads,PLT_09,2025-03-21,0,2,details,2
U00260,39,1,>15L,mobile,google_ads,PLT_04,2024-11-20,0,3,kyc,1
U00261,57,2,3-7L,mobile,organic,PLT_15,2024-12-06,0,0,landing,1
U00262,48,3,>15L,mobile,social_media,PLT_11,2024-08-03,0,1,fd_view,1
U00263,34,1,7-15L,mobile,partner_referral,PLT_01,2025-03-02,1,4,deposit,1
U00264,27,2,<3L,mobile,direct,PLT_02,2025-05-20,0,1,fd_view,1
U00265,22,3,3-7L,desktop,organic,PLT_13,2025-02-15,0,0,landing,1
U00266,29,3,>15L,tablet,social_media,PLT_01,2024-12-03,0,0,landing,1
U00267,35,2,>15L,tablet,social_media,PLT_08,2025-05-21,0,0,landing,1
U00268,26,3,<3L,mobile,organic,PLT_09,2025-05-10,0,2,details,1
U00269,36,2,7-15L,desktop,google_ads,PLT_10,2025-05-31,1,4,deposit,2
U00270,38,1,3-7L,mobile,organic,PLT_12,2025-02-13,1,4,deposit,2
U00271,35,3,<3L,mobile,google_ads,PLT_06,2024-09-13,0,3,kyc,1
U00272,30,3,3-7L,desktop,google_ads,PLT_02,2025-01-19,0,1,fd_view,1
U00273,40,3,<3L,desktop,partner_referral,PLT_06,2024-06-01,0,1,fd_view,1
U00274,43,3,7-15L,mobile,google_ads,PLT_09,2025-05-25,0,2,details,2
U00275,24,2,3-7L,mobile,direct,PLT_12,2024-08-26,0,1,fd_view,2
U00276,54,2,7-15L,mobile,organic,PLT_03,2024-11-12,0,0,landing,1
U00277,36,3,<3L,desktop,direct,PLT_09,2025-04-17,0,1,fd_view,2
U00278,38,2,3-7L,mobile,google_ads,PLT_02,2024-06-01,0,2,details,2
U00279,46,3,<3L,tablet,social_media,PLT_11,2025-04-22,0,2,details,3
U00280,40,3,<3L,mobile,google_ads,PLT_05,2024-09-10,0,0,landing,1
U00281,49,3,<3L,mobile,organic,PLT_11,2024-09-19,0,2,details,1
U00282,41,2,<3L,mobile,direct,PLT_02,2024-12-13,0,0,landing,1
U00283,30,2,3-7L,mobile,google_ads,PLT_07,2025-02-22,1,4,deposit,2
U00284,42,1,3-7L,mobile,social_media,PLT_11,2025-05-17,0,2,details,2
U00285,24,2,3-7L,desktop,partner_referral,PLT_10,2025-03-02,1,4,deposit,1
U00286,39,1,3-7L,desktop,google_ads,PLT_15,2025-04-10,0,2,details,1
U00287,37,2,>15L,tablet,google_ads,PLT_09,2024-11-25,0,2,details,1
U00288,35,2,>15L,desktop,social_media,PLT_07,2024-12-13,1,4,deposit,1
U00289,36,1,3-7L,desktop,organic,PLT_12,2024-08-16,0,1,fd_view,2
U00290,22,2,3-7L,desktop,social_media,PLT_05,2025-05-31,1,4,deposit,2
U00291,31,1,<3L,desktop,direct,PLT_15,2024-11-15,0,0,landing,1
U00292,39,1,>15L,mobile,organic,PLT_04,2024-07-02,0,2,details,1
U00293,39,3,<3L,mobile,organic,PLT_12,2024-11-27,0,1,fd_view,2
U00294,25,2,3-7L,mobile,social_media,PLT_04,2025-05-16,0,1,fd_view,2
U00295,53,1,3-7L,mobile,google_ads,PLT_15,2025-05-22,0,2,details,1
U00296,27,2,3-7L,mobile,google_ads,PLT_10,2025-05-30,1,4,deposit,2
U00297,49,3,<3L,tablet,organic,PLT_08,2025-02-03,0,2,details,1
U00298,43,1,7-15L,mobile,partner_referral,PLT_10,2025-02-02,0,1,fd_view,1
U00299,30,2,<3L,mobile,organic,PLT_13,2024-06-01,0,2,details,2
U00300,59,1,7-15L,mobile,google_ads,PLT_10,2025-04-02,1,4,deposit,1
U00301,23,1,<3L,mobile,social_media,PLT_14,2025-04-14,0,2,details,2
U00302,49,2,<3L,mobile,google_ads,PLT_10,2025-02-04,1,4,deposit,2
U00303,50,2,>15L,mobile,google_ads,PLT_10,2024-11-04,0,3,kyc,1
U00304,29,2,<3L,mobile,direct,PLT_10,2024-07-05,0,2,details,2
U00305,54,3,7-15L,mobile,social_media,PLT_01,2024-11-18,0,1,fd_view,1
U00306,34,3,3-7L,desktop,social_media,PLT_05,2025-03-27,0,2,details,1
U00307,41,2,<3L,desktop,google_ads,PLT_14,2025-02-01,0,0,landing,1
U00308,41,2,>15L,mobile,social_media,PLT_02,2024-10-12,1,4,deposit,2
U00309,36,3,<3L,mobile,organic,PLT_13,2025-03-13,0,3,kyc,1
U00310,47,1,>15L,mobile,organic,PLT_11,2025-05-03,0,1,fd_view,1
U00311,47,2,<3L,desktop,google_ads,PLT_09,2025-05-10,0,0,landing,1
U00312,22,1,>15L,mobile,google_ads,PLT_07,2025-05-31,0,1,fd_view,2
U00313,53,1,<3L,mobile,social_media,PLT_10,2024-12-31,0,3,kyc,1
U00314,22,3,3-7L,desktop,google_ads,PLT_08,2025-05-18,0,0,landing,1
U00315,50,3,7-15L,mobile,social_media,PLT_06,2025-04-29,0,1,fd_view,2
U00316,51,2,>15L,mobile,social_media,PLT_09,2025-04-20,0,2,details,1
U00317,24,2,>15L,mobile,partner_referral,PLT_06,2025-02-23,1,4,deposit,1
U00318,33,1,7-15L,tablet,google_ads,PLT_07,2025-04-02,0,0,landing,1
