user_id,age,city_tier,income_bracket,device_type,referral_source,platform_id,registration_date,converted,max_stage_reached,max_stage_name,funnel_attempts,income_num,device_mobile,device_desktop,referral_paid,referral_partner,max_stage_idx,total_events,funnel_attempts_feat,has_reentry,session_hour_mean,session_hour_std,evening_session_ratio,weekday_ratio,time_on_landing,time_on_fd_view,time_on_details,time_on_kyc,total_time_in_funnel,avg_scroll_depth,details_max_scroll,kyc_attempts,kyc_avg_time,n_devices_used,device_switched,avg_stage_gap_sec,fastest_transition_sec,n_fds_booked,avg_fd_amount,total_fd_amount,avg_tenor,avg_rate,n_banks,income_midpoint,amount_to_income_ratio,mobile_kyc_friction,high_income_engagement,tier3_mobile,reentry_details_time,evening_details_depth,segment,segment_name
U00011,22,1,<3L,mobile,organic,PLT_08,2024-09-05,0,1,fd_view,1,1,1,0,0,0,1,2,1,0,6.0,0.0,0.0,1.0,55.0,20.0,0.0,0.0,75,90.6,0.0,0,0.0,1,0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,0,🟡 Hesitant Comparers
U00012,48,3,3-7L,desktop,social_media,PLT_05,2025-01-02,0,1,fd_view,1,2,0,1,1,0,1,2,1,0,19.0,0.0,1.0,1.0,24.0,10.0,0.0,0.0,34,62.0,0.0,0,0.0,1,0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00013,46,3,<3L,desktop,social_media,PLT_09,2025-01-30,0,1,fd_view,1,1,0,1,1,0,1,2,1,0,19.0,0.0,1.0,1.0,18.0,14.0,0.0,0.0,32,53.45,0.0,0,0.0,1,0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00014,34,1,7-15L,desktop,social_media,PLT_14,2025-01-22,0,2,details,3,3,0,1,1,0,2,7,3,1,5.285714285714286,1.2535663410560174,0.0,0.5714285714285714,37.333333333333336,20.0,48.0,0.0,220,52.614285714285714,93.5,0,0.0,1,0,85801.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,0,220,0,48.0,0.0,1,🟢 High-Value Converters
U00015,38,1,3-7L,mobile,google_ads,PLT_07,2025-03-29,1,4,deposit,3,2,1,0,1,0,4,10,3,1,20.3,1.4181364924121769,0.7,0.5,14.333333333333334,19.0,167.0,30.0,584,54.2,65.8,1,30.0,2,1,39605.0,2.0,3.0,77983.33333333333,233950.0,10.0,6.81,3.0,500000,0.15596666666666667,1,0,0,167.0,46.059999999999995,1,🟢 High-Value Converters
U00016,44,1,3-7L,mobile,google_ads,PLT_05,2025-05-27,0,2,details,2,2,1,0,1,0,2,6,2,1,0.5,0.5477225575051661,0.0,0.0,24.5,28.0,18.5,0.0,142,42.4,65.9,0,0.0,1,0,22505.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,18.5,0.0,0,🟡 Hesitant Comparers
U00017,22,2,3-7L,desktop,direct,PLT_15,2024-11-29,0,0,landing,1,2,0,1,0,0,0,1,1,0,22.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5,14.9,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00018,31,2,>15L,desktop,direct,PLT_08,2025-01-16,0,1,fd_view,1,4,0,1,0,0,1,2,1,0,5.0,0.0,0.0,1.0,5.0,153.0,0.0,0.0,158,81.85,0.0,0,0.0,1,0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,0,158,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00019,47,2,<3L,tablet,google_ads,PLT_15,2025-03-17,0,3,kyc,1,1,0,0,1,0,3,4,1,0,20.0,0.0,1.0,1.0,5.0,3.0,127.0,205.0,340,43.85,57.6,1,205.0,1,0,14.333333333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,57.6,2,🔵 Exploring Newcomers
U00020,22,1,<3L,mobile,social_media,PLT_07,2024-08-29,0,0,landing,1,1,1,0,1,0,0,1,1,0,4.0,0.0,0.0,1.0,64.0,0.0,0.0,0.0,64,23.9,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,0,🟡 Hesitant Comparers
U00021,41,2,>15L,mobile,google_ads,PLT_09,2025-04-13,1,4,deposit,1,4,1,0,1,0,4,5,1,0,6.0,0.0,0.0,1.0,65.0,26.0,116.0,211.0,421,65.88,76.2,1,211.0,1,0,14.75,2.0,2.0,112250.0,224500.0,30.0,6.93,2.0,2000000,0.056125,1,421,0,0.0,0.0,2,🔵 Exploring Newcomers
U00022,22,1,3-7L,mobile,google_ads,PLT_10,2025-04-21,0,3,kyc,3,2,1,0,1,0,3,10,3,1,20.7,0.483045891539648,1.0,1.0,27.333333333333332,22.666666666666668,93.0,110.0,539,52.61,78.6,1,110.0,2,1,85952.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,1,0,0,93.0,78.6,1,🟢 High-Value Converters
U00023,43,1,>15L,desktop,organic,PLT_01,2024-09-27,1,4,deposit,3,4,0,1,0,0,4,9,3,1,2.2222222222222223,0.6666666666666666,0.0,0.6666666666666666,44.333333333333336,17.5,202.0,224.0,804,49.0,59.8,1,224.0,2,1,43204.125,10.0,1.0,48571.0,48571.0,12.0,7.2,1.0,2000000,0.0242855,0,804,0,202.0,0.0,1,🟢 High-Value Converters
U00024,37,2,3-7L,mobile,google_ads,PLT_15,2024-11-22,1,4,deposit,2,2,1,0,1,0,4,8,2,1,19.375,0.5175491695067644,1.0,0.625,14.5,50.0,36.5,274.0,583,65.825,82.3,1,274.0,1,0,12862.142857142857,1.0,3.0,78266.66666666667,234800.0,7.0,7.3933333333333335,2.0,500000,0.15653333333333333,1,0,0,36.5,82.3,1,🟢 High-Value Converters
U00025,22,2,7-15L,mobile,partner_referral,PLT_13,2025-03-07,0,2,details,3,3,1,0,0,1,2,9,3,1,7.333333333333333,1.0,0.0,0.6666666666666666,9.333333333333334,18.666666666666668,31.0,0.0,177,53.355555555555554,93.0,0,0.0,1,0,33303.375,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,0,177,0,31.0,0.0,1,🟢 High-Value Converters
U00026,51,3,3-7L,tablet,organic,PLT_09,2025-05-16,0,0,landing,2,2,0,0,0,0,0,2,2,1,0.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,80,63.3,0.0,0,0.0,1,0,259200.0,259200.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00027,29,1,7-15L,mobile,google_ads,PLT_15,2025-05-03,1,4,deposit,3,3,1,0,1,0,4,8,3,1,22.25,0.4629100498862756,0.0,1.0,40.666666666666664,65.0,12.0,54.0,360,57.887499999999996,54.8,1,54.0,2,1,73553.0,2.0,3.0,43198.666666666664,129596.0,12.0,8.313333333333333,3.0,1100000,0.03927151515151515,1,360,0,12.0,0.0,1,🟢 High-Value Converters
U00028,28,2,>15L,desktop,social_media,PLT_07,2025-01-24,0,3,kyc,1,4,0,1,1,0,3,4,1,0,19.0,0.0,1.0,0.0,26.0,8.0,56.0,45.0,135,44.4,27.1,1,45.0,1,0,18.333333333333332,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,0,135,0,0.0,27.1,2,🔵 Exploring Newcomers
U00029,40,2,3-7L,mobile,social_media,PLT_01,2025-04-04,0,3,kyc,1,2,1,0,1,0,3,4,1,0,6.0,0.0,0.0,1.0,37.0,19.0,6.0,8.0,70,53.675,78.7,1,8.0,1,0,12.666666666666666,7.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,1,0,0,0.0,0.0,2,🔵 Exploring Newcomers
U00030,51,1,<3L,desktop,partner_referral,PLT_01,2024-10-27,0,2,details,1,1,0,1,0,1,2,3,1,0,1.0,0.0,0.0,1.0,64.0,24.0,27.0,0.0,115,55.26666666666666,91.6,0,0.0,1,0,27.5,27.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00031,25,2,3-7L,desktop,direct,PLT_05,2024-06-07,1,4,deposit,1,2,0,1,0,0,4,5,1,0,21.0,0.0,1.0,1.0,45.0,14.0,51.0,58.0,287,54.02,12.5,1,58.0,1,0,14.0,2.0,3.0,102117.33333333333,306352.0,24.0,8.526666666666666,3.0,500000,0.20423466666666665,0,0,0,0.0,12.5,2,🔵 Exploring Newcomers
U00032,38,1,<3L,tablet,organic,PLT_08,2024-11-17,0,1,fd_view,2,1,0,0,0,0,1,4,2,1,0.5,0.5773502691896257,0.0,0.5,7.5,49.0,0.0,0.0,113,55.375,0.0,0,0.0,2,1,58807.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00033,43,1,<3L,tablet,partner_referral,PLT_09,2025-04-06,0,1,fd_view,2,1,0,0,0,1,1,3,2,1,22.0,0.0,0.0,0.3333333333333333,16.5,3.0,0.0,0.0,36,19.7,0.0,0,0.0,1,0,43200.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00034,46,3,3-7L,mobile,social_media,PLT_12,2024-11-27,0,1,fd_view,1,2,1,0,1,0,1,2,1,0,19.0,0.0,1.0,1.0,5.0,21.0,0.0,0.0,26,53.7,0.0,0,0.0,1,0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,1,0.0,0.0,0,🟡 Hesitant Comparers
U00035,40,3,3-7L,mobile,partner_referral,PLT_06,2025-04-11,0,2,details,1,2,1,0,0,1,2,3,1,0,20.0,0.0,1.0,1.0,5.0,33.0,29.0,0.0,67,42.699999999999996,35.0,0,0.0,1,0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,1,0.0,35.0,0,🟡 Hesitant Comparers
U00036,33,3,3-7L,mobile,google_ads,PLT_12,2025-05-11,1,4,deposit,2,2,1,0,1,0,4,8,2,1,18.75,1.0350983390135313,1.0,1.0,34.0,14.5,64.5,38.0,267,54.4875,72.3,1,38.0,2,1,23667.714285714286,6.0,4.0,90433.0,361732.0,12.0,7.8525,3.0,500000,0.180866,1,0,1,64.5,72.3,1,🟢 High-Value Converters
U00037,28,2,3-7L,desktop,organic,PLT_13,2025-05-28,1,4,deposit,1,2,0,1,0,0,4,5,1,0,19.0,0.0,1.0,1.0,9.0,16.0,272.0,39.0,568,49.220000000000006,26.8,1,39.0,1,0,20.25,2.0,5.0,88906.0,444530.0,22.8,7.537999999999999,3.0,500000,0.177812,0,0,0,0.0,26.8,2,🔵 Exploring Newcomers
U00038,39,1,7-15L,desktop,direct,PLT_10,2025-04-04,0,1,fd_view,1,3,0,1,0,0,1,2,1,0,5.0,0.0,0.0,0.0,13.0,27.0,0.0,0.0,40,55.05,0.0,0,0.0,1,0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,0,40,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00039,25,2,<3L,mobile,google_ads,PLT_12,2024-08-25,0,3,kyc,3,1,1,0,1,0,3,7,3,1,16.285714285714285,11.131251587524284,0.0,1.0,17.666666666666668,49.5,402.0,8.0,562,48.48571428571429,42.8,1,8.0,2,1,57000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,1,0,0,402.0,0.0,1,🟢 High-Value Converters
U00040,22,2,<3L,desktop,direct,PLT_08,2025-04-30,0,0,landing,1,1,0,1,0,0,0,1,1,0,18.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,16,36.9,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00041,43,1,<3L,mobile,partner_referral,PLT_15,2025-05-05,0,3,kyc,3,1,1,0,0,1,3,8,3,1,17.25,10.646931147384342,0.0,0.5,10.333333333333334,47.0,249.0,49.0,470,59.35,69.8,1,49.0,1,0,73547.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,1,0,0,249.0,0.0,1,🟢 High-Value Converters
U00042,48,2,3-7L,desktop,social_media,PLT_06,2024-06-01,1,4,deposit,2,2,0,1,1,0,4,10,2,1,17.5,0.5270462766947286,0.5,1.0,7.0,17.0,44.0,151.0,486,69.51,91.6,2,151.0,2,1,38807.555555555555,5.0,4.0,102959.75,411839.0,19.5,7.6475,3.0,500000,0.2059195,0,0,0,44.0,45.8,1,🟢 High-Value Converters
U00043,22,1,<3L,tablet,social_media,PLT_11,2025-05-29,0,0,landing,1,1,0,0,1,0,0,1,1,0,6.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,34,23.5,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00044,25,3,3-7L,mobile,social_media,PLT_06,2024-11-29,0,0,landing,1,2,1,0,1,0,0,1,1,0,4.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,33,24.7,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,1,0.0,0.0,0,🟡 Hesitant Comparers
U00045,45,1,3-7L,mobile,google_ads,PLT_04,2025-04-16,1,4,deposit,1,2,1,0,1,0,4,5,1,0,6.0,0.0,0.0,1.0,62.0,21.0,6.0,185.0,277,52.52,40.5,1,185.0,1,0,16.5,14.0,1.0,126394.0,126394.0,12.0,8.92,1.0,500000,0.252788,1,0,0,0.0,0.0,2,🔵 Exploring Newcomers
U00046,62,2,7-15L,mobile,partner_referral,PLT_11,2025-05-28,1,4,deposit,1,3,1,0,0,1,4,5,1,0,21.0,0.0,1.0,1.0,18.0,10.0,107.0,168.0,401,35.78,14.8,1,168.0,1,0,27.666666666666668,12.0,5.0,122457.2,612286.0,17.4,7.895999999999999,4.0,1100000,0.11132472727272727,1,401,0,0.0,14.8,2,🔵 Exploring Newcomers
U00047,38,2,<3L,desktop,social_media,PLT_05,2024-08-06,0,3,kyc,1,1,0,1,1,0,3,4,1,0,23.0,0.0,0.0,1.0,51.0,21.0,90.0,112.0,274,67.175,71.2,1,112.0,1,0,13.333333333333334,10.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,2,🔵 Exploring Newcomers
U00048,29,2,7-15L,mobile,google_ads,PLT_14,2025-05-14,0,0,landing,1,3,1,0,1,0,0,1,1,0,22.0,0.0,0.0,1.0,19.0,0.0,0.0,0.0,19,62.9,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,0,19,0,0.0,0.0,0,🟡 Hesitant Comparers
U00049,35,2,7-15L,mobile,google_ads,PLT_02,2025-02-25,0,2,details,1,3,1,0,1,0,2,3,1,0,5.0,0.0,0.0,1.0,9.0,45.0,50.0,0.0,104,37.666666666666664,39.7,0,0.0,1,0,16.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,0,104,0,0.0,0.0,0,🟡 Hesitant Comparers
U00050,54,1,7-15L,mobile,organic,PLT_03,2025-04-24,0,3,kyc,1,3,1,0,0,0,3,4,1,0,5.0,0.0,0.0,1.0,7.0,3.0,367.0,142.0,519,64.575,91.3,1,142.0,1,0,20.333333333333332,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,1,519,0,0.0,0.0,2,🔵 Exploring Newcomers
U00051,30,3,>15L,mobile,direct,PLT_03,2025-05-24,0,2,details,3,4,1,0,0,0,2,8,3,1,19.25,1.035098339013532,1.0,1.0,26.0,26.0,29.0,0.0,214,53.7875,72.7,0,0.0,1,0,73032.42857142857,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,0,214,1,29.0,72.7,1,🟢 High-Value Converters
U00052,28,3,<3L,mobile,organic,PLT_14,2025-05-26,0,0,landing,1,1,1,0,0,0,0,1,1,0,5.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,13,42.6,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,1,0.0,0.0,0,🟡 Hesitant Comparers
U00053,32,3,<3L,desktop,partner_referral,PLT_12,2025-05-18,0,2,details,1,1,0,1,0,1,2,3,1,0,22.0,0.0,0.0,1.0,8.0,10.0,9.0,0.0,27,41.733333333333334,45.7,0,0.0,1,0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00054,26,3,>15L,mobile,google_ads,PLT_11,2025-05-24,1,4,deposit,1,4,1,0,1,0,4,5,1,0,7.0,0.0,0.0,1.0,10.0,8.0,108.0,130.0,283,55.120000000000005,54.6,1,130.0,1,0,15.666666666666666,5.0,1.0,56197.0,56197.0,12.0,7.41,1.0,2000000,0.0280985,1,283,1,0.0,0.0,2,🔵 Exploring Newcomers
U00055,39,2,3-7L,desktop,google_ads,PLT_05,2024-12-12,0,1,fd_view,1,2,0,1,1,0,1,2,1,0,22.0,0.0,0.0,1.0,55.0,8.0,0.0,0.0,63,55.15,0.0,0,0.0,1,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00056,57,3,3-7L,desktop,social_media,PLT_14,2025-03-14,0,3,kyc,1,2,0,1,1,0,3,4,1,0,18.0,0.0,1.0,1.0,13.0,187.0,74.0,212.0,486,63.425000000000004,75.4,1,212.0,1,0,20.666666666666668,12.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,75.4,2,🔵 Exploring Newcomers
U00057,41,1,7-15L,mobile,organic,PLT_05,2025-04-12,1,4,deposit,1,3,1,0,0,0,4,5,1,0,17.0,0.0,0.0,1.0,13.0,23.0,13.0,27.0,82,51.2,59.7,1,27.0,1,0,16.0,6.0,1.0,37932.0,37932.0,12.0,6.71,1.0,1100000,0.03448363636363636,1,82,0,0.0,0.0,2,🔵 Exploring Newcomers
U00058,34,1,7-15L,mobile,partner_referral,PLT_06,2025-03-28,0,2,details,1,3,1,0,0,1,2,3,1,0,8.0,0.0,0.0,1.0,8.0,40.0,102.0,0.0,150,38.73333333333333,58.8,0,0.0,1,0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,0,150,0,0.0,0.0,0,🟡 Hesitant Comparers
U00059,34,1,>15L,desktop,social_media,PLT_05,2024-07-19,0,3,kyc,1,4,0,1,1,0,3,4,1,0,5.0,0.0,0.0,1.0,31.0,10.0,46.0,244.0,331,57.8,84.5,1,244.0,1,0,20.666666666666668,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,0,331,0,0.0,0.0,2,🔵 Exploring Newcomers
U00060,22,2,>15L,tablet,social_media,PLT_12,2024-08-16,0,0,landing,1,4,0,0,1,0,0,1,1,0,22.0,0.0,0.0,1.0,69.0,0.0,0.0,0.0,69,49.7,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,0,69,0,0.0,0.0,3,🔴 Dormant Drop-offs
U00061,48,2,7-15L,mobile,organic,PLT_06,2025-01-02,0,1,fd_view,1,3,1,0,0,0,1,2,1,0,22.0,0.0,0.0,1.0,6.0,12.0,0.0,0.0,18,59.95,0.0,0,0.0,1,0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000,0.0,0,18,0,0.0,0.0,0,🟡 Hesitant Comparers
U00062,37,1,3-7L,mobile,direct,PLT_08,2024-09-15,0,3,kyc,2,2,1,0,0,0,3,5,2,1,4.0,0.0,0.0,1.0,23.0,3.0,75.0,23.0,147,54.660000000000004,61.7,1,23.0,2,1,43212.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,1,0,0,75.0,0.0,2,🔵 Exploring Newcomers
U00063,35,3,>15L,mobile,social_media,PLT_15,2025-04-16,0,0,landing,1,4,1,0,1,0,0,1,1,0,5.0,0.0,0.0,1.0,52.0,0.0,0.0,0.0,52,34.6,0.0,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,0,52,1,0.0,0.0,0,🟡 Hesitant Comparers
U00064,70,2,<3L,desktop,direct,PLT_02,2025-04-05,0,3,kyc,1,1,0,1,0,0,3,4,1,0,22.0,0.0,0.0,1.0,110.0,105.0,30.0,180.0,425,66.9,83.7,1,180.0,1,0,14.333333333333334,4.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,0.0,2,🔵 Exploring Newcomers
U00065,41,1,<3L,mobile,google_ads,PLT_04,2025-02-07,1,4,deposit,3,1,1,0,1,0,4,10,3,1,18.4,9.697651491183029,0.0,0.3,36.666666666666664,43.333333333333336,85.5,5.0,423,61.21,93.1,1,5.0,1,0,19601.0,5.0,3.0,69862.33333333333,209587.0,24.0,8.016666666666667,3.0,150000,0.4657488888888889,1,0,0,85.5,0.0,1,🟢 High-Value Converters
U00066,28,2,>15L,mobile,partner_referral,PLT_13,2025-02-04,0,1,fd_view,2,4,1,0,0,1,1,4,2,1,3.5,0.5773502691896257,0.0,0.5,14.0,51.0,0.0,0.0,130,43.725,0.0,0,0.0,1,0,56408.666666666664,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000,0.0,0,130,0,0.0,0.0,0,🟡 Hesitant Comparers
U00067,32,1,3-7L,desktop,direct,PLT_06,2025-03-15,0,3,kyc,1,2,0,1,0,0,3,4,1,0,5.0,0.0,0.0,0.0,139.0,54.0,187.0,28.0,408,38.175,36.4,1,28.0,1,0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,500000,0.0,0,0,0,0.0,0.0,2,🔵 Exploring Newcomers
U00068,51,3,<3L,desktop,direct,PLT_12,2025-04-01,0,2,details,1,1,0,1,0,0,2,3,1,0,20.0,0.0,1.0,0.0,5.0,9.0,3.0,0.0,17,54.43333333333334,61.0,0,0.0,1,0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,0,0,0,0.0,61.0,3,🔴 Dormant Drop-offs
U00069,39,1,<3L,mobile,google_ads,PLT_05,2024-06-01,0,3,kyc,1,1,1,0,1,0,3,4,1,0,19.0,0.0,1.0,1.0,5.0,11.0,3.0,51.0,70,49.55,93.1,1,51.0,1,0,19.333333333333332,16.0,0.0,0.0,0.0,0.0,0.0,0.0,150000,0.0,1,0,0,0.0,93.1,2,🔵 Exploring Newcomers
